symbol,status,rows,cluster,error
AAPL,insufficient_rows,3397,equity,
AAVUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ADAUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AIRF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ALGUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ALVG,error,,,"(sqlite3.OperationalError) table studies already exists
[SQL: 
CREATE TABLE studies (
	study_id INTEGER NOT NULL, 
	study_name VARCHAR(512) NOT NULL, 
	PRIMARY KEY (study_id)
)

]
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
AMZN,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUDNZD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUD_CAD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUD_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUD_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUD_NZD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUD_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AUS200.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
AVAUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
BABA,insufficient_rows,3439,equity,
BAC,insufficient_rows,3404,equity,
BARUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
BAYGn,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
BCHUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
BNBUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
BTCUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
CADCHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
CAD_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
CAD_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
CHF_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
COCOA.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
COFFEE.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
CORN.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
COTTON.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
DASHUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
DBKGn,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
